name,year,value
Sheep and Goat,2014,444677752
Beef and Buffalo,2014,328295034
Other Rodents,2014,70626000
Pigeon,2014,62506000
Beef and Buffalo,2014,25548241
Horse,2014,4747288
Camel,2014,2703551
Donkey,2014,2529606
Other Camelids,2014,915159
Game,2014,627753
Mule,2014,482600
Frog and Marine Mammals,2014,96388
Chicken,2015,64043715000
Duck,2015,2970614000
Pig,2015,1486936896
Sheep and Goat,2015,1007865825
Rabbit,2015,933686000
Goose,2015,642357000
Turkey,2015,636619000
Sheep and Goat,2015,552978089
Sheep and Goat,2015,454887736
Beef and Buffalo,2015,328010439
Other Rodents,2015,70829000
Pigeon,2015,60786000
Beef and Buffalo,2015,25646002
Horse,2015,4822237
Camel,2015,2718789
Donkey,2015,2565073
Other Camelids,2015,912167
Game,2015,642484
Mule,2015,492272
Frog and Marine Mammals,2015,92333
Chicken,2016,65787732000
Duck,2016,3022065000
Pig,2016,1480741771
Sheep and Goat,2016,1028984795
Rabbit,2016,940608000
Turkey,2016,675822000
Goose,2016,662776000
Sheep and Goat,2016,563659774
Sheep and Goat,2016,465325021
Beef and Buffalo,2016,328679836
Other Rodents,2016,70543000
Pigeon,2016,55509000
Beef and Buffalo,2016,26105673
Horse,2016,4819373
Camel,2016,2738886
Donkey,2016,2506475
Other Camelids,2016,937279
Game,2016,656031
Mule,2016,474694
Frog and Marine Mammals,2016,93292
Chicken,2017,66566725000
Duck,2017,3011798000
Pig,2017,1485986756
Sheep and Goat,2017,1032318869
Rabbit,2017,971951000
Turkey,2017,663605000
Goose,2017,657031000
Sheep and Goat,2017,567720570
Sheep and Goat,2017,464598299
Beef and Buffalo,2017,330850755
Other Rodents,2017,70808000
Pigeon,2017,54220000
Beef and Buffalo,2017,26435897
Horse,2017,4772356
Camel,2017,2842851
Donkey,2017,2192567
Other Camelids,2017,941384
Game,2017,627624
Mule,2017,439415
Frog and Marine Mammals,2017,95559
