name,year,value
Beef and Buffalo,1973,214322428
Sheep and Goat,1973,128288351
Other Rodents,1973,80031000
Goose,1973,71101000
Pigeon,1973,17710000
Beef and Buffalo,1973,10436843
Horse,1973,3091764
Camel,1973,900154
Other Camelids,1973,471336
Donkey,1973,380700
Mule,1973,111500
Game,1973,
Frog and Marine Mammals,1973,
Chicken,1974,13190174000
Pig,1974,630845691
Sheep and Goat,1974,478581655
Rabbit,1974,427283000
Duck,1974,386389000
Sheep and Goat,1974,347737446
Turkey,1974,263884000
Beef and Buffalo,1974,227655042
Sheep and Goat,1974,130844209
Other Rodents,1974,81657000
Goose,1974,70990000
Pigeon,1974,15830000
Beef and Buffalo,1974,10725229
Horse,1974,2818583
Camel,1974,963079
Other Camelids,1974,483468
Donkey,1974,380700
Mule,1974,114000
Game,1974,
Frog and Marine Mammals,1974,
Chicken,1975,13382800000
Pig,1975,627303069
Sheep and Goat,1975,499371434
Rabbit,1975,444813000
Duck,1975,381434000
Sheep and Goat,1975,363376997
Turkey,1975,251358000
Beef and Buffalo,1975,243717820
Sheep and Goat,1975,135994437
Other Rodents,1975,81726000
Goose,1975,74563000
Pigeon,1975,15420000
Beef and Buffalo,1975,10816252
Horse,1975,2940337
Camel,1975,919709
Other Camelids,1975,470423
Donkey,1975,376886
Mule,1975,117427
Game,1975,
Frog and Marine Mammals,1975,
Chicken,1976,14286949000
Pig,1976,621545118
Sheep and Goat,1976,495134695
Rabbit,1976,467674000
Duck,1976,396430000
Sheep and Goat,1976,357097972
Turkey,1976,276844000
Beef and Buffalo,1976,254297067
Sheep and Goat,1976,138036723
Other Rodents,1976,81786000
Goose,1976,73413000
Pigeon,1976,15090000
Beef and Buffalo,1976,11050517
Horse,1976,3174995
Camel,1976,927569
Other Camelids,1976,466867
Donkey,1976,381826
Mule,1976,123400
Game,1976,
Frog and Marine Mammals,1976,
Chicken,1977,15193656000
Pig,1977,643453717
Sheep and Goat,1977,501697373
Rabbit,1977,495767000
Duck,1977,416215000
Sheep and Goat,1977,359491642
Turkey,1977,282915000
Beef and Buffalo,1977,255057076
Sheep and Goat,1977,142205731
Other Rodents,1977,81738000
Goose,1977,75473000
Pigeon,1977,17180000
Beef and Buffalo,1977,11269026
Horse,1977,3114395
Camel,1977,920754
Other Camelids,1977,466624
Donkey,1977,369168
Mule,1977,121300
Game,1977,
Frog and Marine Mammals,1977,
Chicken,1978,16215309000
Pig,1978,664926432
Sheep and Goat,1978,515001976
Rabbit,1978,497078000
Duck,1978,441339000
Sheep and Goat,1978,366513464
Turkey,1978,293897000
Beef and Buffalo,1978,256651008
Sheep and Goat,1978,148488512
Other Rodents,1978,81795000
Goose,1978,80459000
Pigeon,1978,14400000
Beef and Buffalo,1978,11448237
Horse,1978,3202272
Camel,1978,897786
Other Camelids,1978,468161
Donkey,1978,373655
Mule,1978,132200
Game,1978,
Frog and Marine Mammals,1978,
Chicken,1979,17452391000
Pig,1979,721459781
Sheep and Goat,1979,514739926
Rabbit,1979,503963000
Duck,1979,479383000
Sheep and Goat,1979,362326932
Turkey,1979,325608000
Beef and Buffalo,1979,248774573
Sheep and Goat,1979,152412994
Goose,1979,82214000
Other Rodents,1979,81840000
Pigeon,1979,13675000
Beef and Buffalo,1979,11758463
Horse,1979,3108438
Camel,1979,903347
Other Camelids,1979,463721
Donkey,1979,367010
Mule,1979,138683
Game,1979,
Frog and Marine Mammals,1979,
Chicken,1980,18392525000
Pig,1980,756014033
Sheep and Goat,1980,540803240
Rabbit,1980,496627000
Duck,1980,479245000
Sheep and Goat,1980,384396206
Turkey,1980,349032000
Beef and Buffalo,1980,246927394
Sheep and Goat,1980,156407034
Goose,1980,83536000
Other Rodents,1980,81803000
Pigeon,1980,14760000
Beef and Buffalo,1980,11971723
Horse,1980,2865611
Camel,1980,960432
Other Camelids,1980,440770
Donkey,1980,364733
Mule,1980,150600
Game,1980,
Frog and Marine Mammals,1980,
Chicken,1981,19353538000
Pig,1981,748905037
Sheep and Goat,1981,563788793
Duck,1981,502921000
Rabbit,1981,493321000
Sheep and Goat,1981,402067515
Turkey,1981,355747000
Beef and Buffalo,1981,249424593
Sheep and Goat,1981,161721278
Goose,1981,86164000
Other Rodents,1981,81850000
Pigeon,1981,20140000
Beef and Buffalo,1981,12320424
Horse,1981,2840700
Camel,1981,927205
Other Camelids,1981,445991
Donkey,1981,381709
Mule,1981,159400
Game,1981,
Frog and Marine Mammals,1981,
Chicken,1982,20022384000
Pig,1982,744368269
Sheep and Goat,1982,567594373
Duck,1982,523895000
Rabbit,1982,498315000
Sheep and Goat,1982,403916209
Turkey,1982,359124000
Beef and Buffalo,1982,251614525
Sheep and Goat,1982,163678164
Goose,1982,90307000
Other Rodents,1982,81898000
Pigeon,1982,27670000
Beef and Buffalo,1982,13106993
Horse,1982,2659156
Camel,1982,990970
Other Camelids,1982,444863
Donkey,1982,404238
Mule,1982,165300
Game,1982,
Frog and Marine Mammals,1982,
Chicken,1983,20481154000
Pig,1983,770247913
Sheep and Goat,1983,584677541
Duck,1983,545569000
Rabbit,1983,510206000
Sheep and Goat,1983,414686533
Turkey,1983,376678000
Beef and Buffalo,1983,253863101
Sheep and Goat,1983,169991008
Goose,1983,93742000
Other Rodents,1983,81925000
Pigeon,1983,36990000
Beef and Buffalo,1983,13293766
Horse,1983,2617700
Camel,1983,988922
Other Camelids,1983,552562
Donkey,1983,414280
Mule,1983,174928
Game,1983,
Frog and Marine Mammals,1983,
Chicken,1984,20861570000
Pig,1984,790755032
Sheep and Goat,1984,589252265
Duck,1984,560407000
Rabbit,1984,518665000
Sheep and Goat,1984,414835674
Turkey,1984,372008000
Beef and Buffalo,1984,260031899
Sheep and Goat,1984,174416591
Goose,1984,95548000
Other Rodents,1984,81965000
Pigeon,1984,42160000
Beef and Buffalo,1984,13711963
Horse,1984,2722388
Camel,1984,1048244
Other Camelids,1984,434011
Donkey,1984,401132
Mule,1984,181669
Game,1984,
Frog and Marine Mammals,1984,
Chicken,1985,21774959000
Pig,1985,815034118
Sheep and Goat,1985,603475588
Duck,1985,583083000
Rabbit,1985,524350000
Sheep and Goat,1985,423484700
Turkey,1985,391563000
Beef and Buffalo,1985,261093073
Sheep and Goat,1985,179990888
Goose,1985,95260000
Other Rodents,1985,81965000
Pigeon,1985,42610000
Beef and Buffalo,1985,14285916
Horse,1985,2750526
Camel,1985,1063270
Other Camelids,1985,415103
Donkey,1985,397910
Mule,1985,196033
Game,1985,
Frog and Marine Mammals,1985,
Chicken,1986,22869302000
Pig,1986,836061010
Duck,1986,629610000
Sheep and Goat,1986,606217819
Rabbit,1986,536578000
Turkey,1986,427338000
Sheep and Goat,1986,420771042
Beef and Buffalo,1986,268335635
Sheep and Goat,1986,185446777
Goose,1986,106267000
Other Rodents,1986,82345000
Pigeon,1986,43460000
Beef and Buffalo,1986,14771297
Horse,1986,2650492
Camel,1986,1023965
Donkey,1986,423000
Other Camelids,1986,407314
Mule,1986,210200
Game,1986,
Frog and Marine Mammals,1986,
Chicken,1987,24545918000
Pig,1987,855731670
Duck,1987,687256000
Sheep and Goat,1987,632668994
Rabbit,1987,565185000
Turkey,1987,478815000
Sheep and Goat,1987,431256493
Beef and Buffalo,1987,265482647
Sheep and Goat,1987,201412501
Goose,1987,118422000
Other Rodents,1987,82645000
Pigeon,1987,43810000
Beef and Buffalo,1987,14841151
Horse,1987,2740882
Camel,1987,1007031
Donkey,1987,428678
Other Camelids,1987,407961
Mule,1987,234924
Game,1987,
Frog and Marine Mammals,1987,
Chicken,1988,25491080000
Pig,1988,884321746
Duck,1988,730986000
Sheep and Goat,1988,648163122
Rabbit,1988,577021000
Turkey,1988,485448000
Sheep and Goat,1988,440849982
Beef and Buffalo,1988,265711761
Sheep and Goat,1988,207313140
Goose,1988,151673000
Other Rodents,1988,83145000
Pigeon,1988,44727000
Beef and Buffalo,1988,16025272
Horse,1988,2755635
Camel,1988,1065845
Donkey,1988,458990
Other Camelids,1988,422350
Mule,1988,244690
Game,1988,
